model_name,model_family,template_type,language,response_language,question_key,response_pro_score
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f121,0.7
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f120,1.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d054,1.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_20,0.8571428571428571
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f118,0.8333333333333334
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_08,0.5
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d060,0.8571428571428571
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f121,0.5
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e233b,0.5714285714285714
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_20,0.6
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_05,0.4285714285714285
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_08,0.7
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_13,0.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_05,1.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d054,0.625
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e233b,0.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d054,0.9
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_08,1.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_20,1.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f120,0.5384615384615384
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_08,0.6
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_20,1.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e226,0.6666666666666666
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d054,1.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f120,1.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d059,0.6
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f144_02,0.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e228,0.0
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d054,0.5714285714285714
