model_name,model_family,template_type,language,response_language,question_key,response_pro_score,ground_truth_pro_score
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f121,0.7,0.8750372800477184
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f120,1.0,0.8456035767511177
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d054,1.0,0.374015748031496
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_20,0.8571428571428571,0.7083716651333947
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f118,0.8333333333333334,0.8589360430364614
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_08,0.5,0.5786466165413534
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d060,0.8571428571428571,0.0240746313572073
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f121,0.5,0.8750372800477184
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e233b,0.5714285714285714,0.402200488997555
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_20,0.6,0.7083716651333947
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_05,0.42857142857142855,0.616580310880829
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_08,0.7,0.5786466165413534
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_13,0.0,0.4796923076923077
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_05,1.0,0.616580310880829
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d054,0.625,0.374015748031496
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e233b,0.0,0.402200488997555
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d054,0.9,0.374015748031496
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_08,1.0,0.5786466165413534
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_20,1.0,0.7083716651333947
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f120,0.5384615384615384,0.8456035767511177
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_08,0.6,0.5786466165413534
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_20,1.0,0.7083716651333947
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e226,0.6666666666666666,0.9570405727923628
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d054,1.0,0.374015748031496
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f120,1.0,0.8456035767511177
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d059,0.6,0.0829562594268476
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f144_02,0.0,0.1847761194029851
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e228,0.0,0.1107470511140236
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d054,0.5714285714285714,0.374015748031496
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f144_02,0.5,0.1847761194029851
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f120,1.0,0.8456035767511177
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f120,1.0,0.8456035767511177
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f118,1.0,0.8589360430364614
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,c002_01,0.8,0.4452352708580466
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,f144_02,0.6,0.1847761194029851
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e235,0.7777777777777778,0.9791044776119404
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_13,0.0,0.4796923076923077
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_05,0.5,0.616580310880829
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e116,0.5,0.0352197471402769
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,d059,0.5,0.0829562594268476
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e235,1.0,0.9791044776119404
OLMo-2-1124-7B-Instruct,olmo,survey_hypothetical,da,da,e069_20,0.25,0.7083716651333947
